event_id,training_day,resource_type
F1102,103,classroom
FF190,104,classroom
FF1201,105,classroom
F3101,106,oft
F2101,107,mr
F4101,108,aircraft
F4102,109,aircraft
F4103,110,aircraft
F4104,111,aircraft
F4290,112,aircraft
