event_id,training_day,resource_type
IN1202,57,classroom
IN1203,57,classroom
IN1205,58,classroom
IN1206,58,classroom
IN1290,59,classroom
IN1305,60,classroom
IN1306,60,classroom
IN1307,61,classroom
IN1308,61,classroom
IN1390,62,classroom
IN1403,62,classroom
IN1406,63,classroom
IN1411,64,classroom
IN1412,64,classroom
IN1413A,64,classroom
IN1490,65,classroom
IN1501,65,classroom
NA1105,66,classroom
NA1106,66,classroom
NA1190,67,classroom
