event_id,training_day,resource_type
CS1101,113,classroom
CS2101,114,mr
CS2102,115,mr
CS3101,116,oft
CS3102,117,oft
CS4101,118,aircraft
CS4102,119,aircraft
CS4290,120,aircraft
